history_size,system,answer_accuracy,persistent_bytes,query_records_inspected,active_working_set_records,query_wall_ns
32,full_history_scan,1.0,18747.528409090908,32.0,32.0,110474.21022727272
32,recent_window_16,1.0,9461.892045454546,16.0,16.0,74294.42045454546
32,frozen_fifo_16,0.045454545454545456,9286.636363636364,16.0,16.0,52546.068181818184
32,random_16,0.5,9369.630681818182,16.0,16.0,55067.869318181816
32,exact_structured,1.0,3212.8920454545455,1.5795454545454546,1.0,22892.767045454544
32,conventional_retrieval,1.0,2999.8920454545455,32.0,16.0,89449.77840909091
32,dmc04b,1.0,9461.892045454546,16.0,16.0,4395642.243181818
32,dmc_retrieval_all_history,1.0,18747.528409090908,32.0,32.0,4428563.511363637
64,full_history_scan,1.0,38325.18125,64.0,64.0,218800.35625
64,recent_window_16,1.0,9684.58125,16.0,16.0,77971.5875
64,frozen_fifo_16,0.025,9541.4,16.0,16.0,59458.575
64,random_16,0.35,9584.225,16.0,16.0,67452.15
64,exact_structured,1.0,6401.58125,2.6375,1.0,37592.15
64,conventional_retrieval,1.0,6145.58125,64.0,16.0,131874.76875
64,dmc04b,1.0,9684.58125,16.0,16.0,4352866.47125
64,dmc_retrieval_all_history,1.0,38325.18125,64.0,64.0,7288659.35875
128,full_history_scan,0.9886363636363636,75212.80681818182,128.0,128.0,381432.82954545453
128,recent_window_16,1.0,9488.079545454546,16.0,16.0,99299.76136363637
128,frozen_fifo_16,0.011363636363636364,9353.181818181818,16.0,16.0,52747.829545454544
128,random_16,0.1590909090909091,9398.977272727272,16.0,16.0,91037.35227272728
128,exact_structured,0.9886363636363636,12830.806818181818,4.579545454545454,1.0,62914.72727272727
128,conventional_retrieval,0.9886363636363636,12574.806818181818,128.0,16.0,274588.36363636365
128,dmc04b,1.0,9488.079545454546,16.0,16.0,4282011.845454546
128,dmc_retrieval_all_history,0.9886363636363636,75212.80681818182,128.0,128.0,13937322.863636363
256,full_history_scan,0.25,154337.1875,256.0,256.0,945834.8625
256,recent_window_16,1.0,9711.7875,16.0,16.0,99664.05
256,frozen_fifo_16,0.0125,9557.4,16.0,16.0,63526.9375
256,random_16,0.0875,9643.9625,16.0,16.0,114593.8375
256,exact_structured,0.25,25871.9875,8.6375,1.0,135870.3625
256,conventional_retrieval,0.25,25615.9875,256.0,16.0,547383.8375
256,dmc04b,1.0,9711.7875,16.0,16.0,4255745.4575
256,dmc_retrieval_all_history,0.25,154337.1875,256.0,256.0,24249712.732499998
1024,full_history_scan,0.11363636363636363,607261.8977272727,1024.0,1024.0,6171838.113636363
1024,recent_window_16,1.0,9514.261363636364,16.0,16.0,120329.875
1024,frozen_fifo_16,0.011363636363636364,9369.181818181818,16.0,16.0,80713.60227272728
1024,random_16,0.056818181818181816,9490.170454545454,16.0,16.0,136342.45454545456
1024,exact_structured,0.11363636363636363,104681.71590909091,32.57954545454545,1.0,637087.8977272727
1024,conventional_retrieval,0.11363636363636363,104425.71590909091,1024.0,16.0,2504765.6818181816
1024,dmc04b,1.0,9514.261363636364,16.0,16.0,4128636.8772727274
1024,dmc_retrieval_all_history,0.11363636363636363,607261.8977272727,1024.0,1024.0,91788191.95681818
