history_size,system,answer_accuracy,persistent_bytes,query_records_inspected,active_working_set_records,ingestion_wall_ns,query_wall_ns,online_wall_ns
32,full_history_scan,1.0,6349.892045454545,32.0,32.0,150160.67045454544,35863.056818181816,186023.72727272726
32,recent_window_16,1.0,1499.7102272727273,16.0,16.0,85787.96590909091,24371.352272727272,110159.31818181818
32,frozen_fifo_16,0.045454545454545456,1501.1818181818182,16.0,16.0,49951.732954545456,13477.238636363636,63428.97159090909
32,random_16,0.5,1499.971590909091,16.0,16.0,258271.64772727274,14027.27840909091,272298.92613636365
32,exact_structured,1.0,8007.255681818182,1.5625,1.5625,202409.9090909091,26359.05681818182,228768.9659090909
32,conventional_retrieval,1.0,7882.982954545455,19.636363636363637,16.0,187847.99431818182,71150.97159090909,258998.9659090909
32,dmc04b,1.0,9461.892045454546,16.0,16.0,5043353.3954545455,4191763.7193181817,9235117.114772728
32,dmc_retrieval_all_history,1.0,18747.528409090908,32.0,32.0,2395.802272727273,6508694.839772727,6511090.642045455
64,full_history_scan,1.0,12830.78125,64.0,64.0,312080.19375,49564.775,361644.96875
64,recent_window_16,1.0,1496.98125,16.0,16.0,183738.81875,32932.2375,216671.05625000002
64,frozen_fifo_16,0.025,1560.2,16.0,16.0,54206.7,11698.4375,65905.1375
64,random_16,0.35,1536.76875,16.0,16.0,442566.075,12614.3625,455180.4375
64,exact_structured,1.0,15596.78125,1.61875,1.61875,382860.1375,31947.775,414807.91250000003
64,conventional_retrieval,1.0,15473.78125,20.0,16.0,362885.78125,73972.80625,436858.5875
64,dmc04b,1.0,9684.58125,16.0,16.0,16222674.5075,4400734.3275,20623408.835
64,dmc_retrieval_all_history,1.0,38325.18125,64.0,64.0,2948.29375,10920783.90875,10923732.202499999
128,full_history_scan,1.0,25915.897727272728,128.0,128.0,569515.8522727273,80213.48863636363,649729.3409090909
128,recent_window_16,1.0,1515.715909090909,16.0,16.0,288164.5227272727,37872.88636363636,326037.40909090906
128,frozen_fifo_16,0.011363636363636364,1570.8181818181818,16.0,16.0,52378.36363636364,11545.193181818182,63923.55681818182
128,random_16,0.1590909090909091,1572.3295454545455,16.0,16.0,820951.9318181818,16284.022727272728,837235.9545454545
128,exact_structured,1.0,31021.80681818182,1.5568181818181819,1.5568181818181819,786859.9431818182,39302.47727272727,826162.4204545455
128,conventional_retrieval,1.0,30897.534090909092,19.636363636363637,16.0,750113.8295454546,88852.22727272728,838966.0568181819
128,dmc04b,1.0,9488.079545454546,16.0,16.0,37369418.42727273,4353048.620454545,41722467.04772727
128,dmc_retrieval_all_history,0.9886363636363636,75212.80681818182,128.0,128.0,3806.609090909091,18596717.152272727,18600523.761363637
256,full_history_scan,1.0,52406.7875,256.0,256.0,1306362.7625,138746.65,1445109.4124999999
256,recent_window_16,1.0,1512.9875,16.0,16.0,940925.25,60032.475,1000957.725
256,frozen_fifo_16,0.0125,1576.2,16.0,16.0,65528.975,16037.5875,81566.5625
256,random_16,0.0875,1600.45,16.0,16.0,1687763.95,19535.975,1707299.925
256,exact_structured,1.0,62243.1875,1.6125,1.6125,1767289.875,51037.725,1818327.6
256,conventional_retrieval,1.0,62120.1875,20.0,16.0,1749566.0375,98754.175,1848320.2125000001
256,dmc04b,1.0,9711.7875,16.0,16.0,78402501.0025,4313239.7675,82715740.77
256,dmc_retrieval_all_history,0.25,154337.1875,256.0,256.0,6287.1825,33140223.2625,33146510.445
1024,full_history_scan,1.0,211854.44318181818,1024.0,1024.0,6823053.534090909,425801.73863636365,7248855.2727272725
1024,recent_window_16,1.0,1531.715909090909,16.0,16.0,3620884.897727273,60941.10227272727,3681826.0
1024,frozen_fifo_16,0.011363636363636364,1586.8181818181818,16.0,16.0,196622.4659090909,20745.863636363636,217368.32954545456
1024,random_16,0.056818181818181816,1632.4545454545455,16.0,16.0,6546343.5227272725,21589.613636363636,6567933.136363636
1024,exact_structured,1.0,250588.35227272726,1.5568181818181819,1.5568181818181819,8900742.545454545,50142.27272727273,8950884.818181818
1024,conventional_retrieval,1.0,250464.07954545456,19.636363636363637,16.0,8212810.170454546,93837.19318181818,8306647.363636364
1024,dmc04b,1.0,9514.261363636364,16.0,16.0,318070439.3477273,4479385.631818182,322549824.9795455
1024,dmc_retrieval_all_history,0.11363636363636363,607261.8977272727,1024.0,1024.0,23460.202272727274,129148695.72045454,129172155.92272727
