system,tail_size,case_count_per_run,critical_recall,retrieval_accuracy,answer_accuracy,persistent_records,persistent_serialized_bytes,online_wall_ns
recent_window_16,0,592,1.0,1.0,1.0,16.0,1507.9037162162163,637059.2584459459
recent_window_16,8,512,0.0078125,0.0078125,0.0078125,16.0,1549.3125,778433.701171875
recent_window_16,16,512,0.0,0.0,0.046875,16.0,1584.5,771269.76171875
recent_window_16,32,416,0.0,0.0,0.052884615384615384,16.0,1608.6923076923076,879548.125
recent_window_16,64,256,0.0,0.0,0.046875,16.0,1626.5,1282570.953125
recent_window_16,256,88,0.0,0.0,0.045454545454545456,16.0,1647.5454545454545,2869449.272727273
frozen_fifo_16,0,592,0.0,0.0,0.02533783783783784,16.0,1550.3513513513512,60585.71283783784
frozen_fifo_16,8,512,0.18359375,0.18359375,0.197265625,16.0,1552.244140625,62498.197265625
frozen_fifo_16,16,512,0.1875,0.1875,0.201171875,16.0,1553.494140625,60014.234375
frozen_fifo_16,32,416,0.0,0.0,0.026442307692307692,16.0,1548.4615384615386,62977.24038461538
frozen_fifo_16,64,256,0.0,0.0,0.01171875,16.0,1578.0,73978.3671875
frozen_fifo_16,256,88,0.0,0.0,0.011363636363636364,16.0,1586.8181818181818,102869.0
random_16,0,592,0.24493243243243243,0.24324324324324326,0.28716216216216217,16.0,1553.9442567567567,1286649.1993243243
random_16,8,512,0.212890625,0.2109375,0.255859375,16.0,1558.15625,1449837.919921875
random_16,16,512,0.212890625,0.2109375,0.255859375,16.0,1558.15625,1425674.2734375
random_16,32,416,0.1466346153846154,0.14423076923076922,0.1971153846153846,16.0,1576.7788461538462,1827751.2139423077
random_16,64,256,0.0546875,0.05078125,0.1015625,16.0,1601.78515625,2560590.98046875
random_16,256,88,0.0,0.0,0.056818181818181816,16.0,1632.4545454545455,5548529.920454546
exact_structured,0,592,1.0,1.0,1.0,232.64864864864865,56868.09290540541,1130587.5304054054
exact_structured,8,512,1.0,1.0,1.0,264.0,64449.857421875,1303206.80859375
exact_structured,16,512,1.0,1.0,1.0,264.0,64449.857421875,1318985.76171875
exact_structured,32,416,1.0,1.0,1.0,317.53846153846155,77539.98557692308,1566432.6586538462
exact_structured,64,256,1.0,1.0,1.0,476.0,116254.48828125,2274519.515625
exact_structured,256,88,1.0,1.0,1.0,1024.0,250588.35227272726,5052635.261363637
conventional_retrieval,0,592,1.0,1.0,1.0,232.64864864864865,56744.33614864865,1116233.0337837837
conventional_retrieval,8,512,1.0,1.0,1.0,264.0,64328.169921875,1266468.673828125
conventional_retrieval,16,512,1.0,1.0,1.0,264.0,64328.169921875,1259700.369140625
conventional_retrieval,32,416,1.0,1.0,1.0,317.53846153846155,77416.44711538461,1486013.0745192308
conventional_retrieval,64,256,1.0,1.0,1.0,476.0,116130.61328125,2296423.71875
conventional_retrieval,256,88,1.0,1.0,1.0,1024.0,250464.07954545456,5206423.840909091
transparent_utility_index_16,0,592,1.0,1.0,1.0,16.0,4583.309121621622,14911469.516891891
transparent_utility_index_16,8,512,1.0,1.0,1.0,16.0,4560.357421875,17409627.37109375
transparent_utility_index_16,16,512,1.0,1.0,1.0,16.0,4560.357421875,17202935.298828125
transparent_utility_index_16,32,416,1.0,1.0,1.0,16.0,4589.447115384615,21249116.331730768
transparent_utility_index_16,64,256,1.0,1.0,1.0,16.0,4598.98828125,33544690.05078125
transparent_utility_index_16,256,88,1.0,1.0,1.0,16.0,4610.988636363636,69556283.8409091
dmc04b,0,592,1.0,1.0,1.0,16.0,9567.525337837838,19435498.29222973
dmc04b,8,512,1.0,1.0,1.0,16.0,9340.857421875,21839488.280859374
dmc04b,16,512,1.0,1.0,1.0,16.0,9340.857421875,21903973.8421875
dmc04b,32,416,1.0,1.0,1.0,16.0,9612.216346153846,26656049.446634617
dmc04b,64,256,1.0,1.0,1.0,16.0,9566.98828125,38225211.66171875
dmc04b,256,88,1.0,1.0,1.0,16.0,9514.261363636364,75474558.06136364
